NAME,STUSPS,Density,Population,Land_area
 Alabama,AL,101,5108468,50645
 Arizona,AZ,65,7431344,113594
 Arkansas,AR,59,3067732,52035
 California,CA,250,38965193,155779
 Colorado,CO,57,5877610,103642
 Connecticut,CT,747,3617176,4842
 Delaware,DE,529,1031890,1949
 Florida,FL,422,22610726,53625
 Georgia,GA,192,11029227,57513
 Idaho,ID,24,1964726,82643
 Illinois,IL,226,12549689,55519
 Indiana,IN,192,6862199,35826
 Iowa,IA,57,3207004,55857
 Kansas,KS,36,2940546,81759
 Kentucky,KY,115,4526154,39486
 Louisiana,LA,106,4573749,43204
 Maine,ME,45,1395722,30843
 Maryland,MD,637,6180253,9707
 Massachusetts,MA,898,7001399,7800
 Michigan,MI,178,10037261,56539
 Minnesota,MN,72,5737915,79627
 Mississippi,MS,63,2939690,46923
 Missouri,MO,90,6196156,68742
 Montana,MT,7.8,1132812,145546
 Nebraska,NE,26,1978379,76824
 Nevada,NV,29,3194176,109781
 New Hampshire,NH,157,1402054,8953
 New Jersey,NJ,1263,9290841,7354
 New Mexico,NM,17,2114371,121298
 New York,NY,415,19571216,47126
 North Carolina,NC,223,10835491,48618
 North Dakota,ND,11,783926,69001
 Ohio,OH,288,11785935,40861
 Oklahoma,OK,59,4053824,68595
 Oregon,OR,44,4233358,95988
 Pennsylvania,PA,290,12961683,44743
 Rhode Island,RI,1060,1095962,1034
 South Carolina,SC,179,5373555,30061
 South Dakota,SD,12,919318,75811
 Tennessee,TN,173,7126489,41235
 Texas,TX,117,30503301,261232
 Utah,UT,42,3417734,82170
 Vermont,VT,70,647464,9217
 Virginia,VA,221,8715698,39490
 Washington,WA,118,7812880,66456
 West Virginia,WV,74,1770071,24038
 Wisconsin,WI,109,5910955,54158
 Wyoming,WY,6,584057,97093
